Symbol,risk_level
AAPL,Low
GOOGL,Low
MSFT,Low
AMZN,Low
JPM,Medium
V,Low
JNJ,Low
PG,Low
NVDA,High
TSLA,High
UNH,Low
BAC,Medium
DIS,Low
VZ,Low
INTC,Medium
NFLX,Low
ADBE,Low
PYPL,Medium
CRM,Medium
IBM,Low
CSCO,Low
PFE,Low
ABT,Low
KO,Low
ABBV,Low
PEP,Low
CVX,Medium
ACN,Low
QCOM,Medium
CMCSA,Low
NKE,Low
TXN,Low
MDT,Low
ORCL,Low
WMT,Low
HD,Low
MRK,Low
AMGN,Low
XOM,Medium
SBUX,Low
MO,Low
MMM,Low
BA,High
COST,Low
MCD,Low
LMT,Low
T,Low
AXP,Medium
UNP,Low
CAT,Low
DE,Low
LUV,High
LOW,Medium
USB,Medium
BMY,Low
C,High
WFC,Medium
AAP,Low
CI,Medium
AMAT,High
CVS,Low
F,Medium
TGT,Low
COP,High
MET,Medium
DHR,Low
MDLZ,Low
LLY,Low
TMO,Low
GM,High
DUK,Low
SO,Low
AEP,Low
RTX,Medium
GILD,Low
EMR,Medium
ADP,Low
NEE,Low
ISRG,Low
VRTX,Low
BDX,Low
PLD,Low
BIIB,High
TMUS,Low
PGR,Low
CME,Low
HON,Low
TJX,Medium
MS,Medium
