Symbol,Recommendation,Price
AAPL,Buy,177.3000030517578
GOOGL,Sell,123.66999816894531
MSFT,Sell,331.2099914550781
AMZN,Buy,121.66000366210938
JPM,Buy,137.4600067138672
V,Sell,221.63999938964844
JNJ,Buy,154.3699951171875
PG,Sell,143.17999267578125
NVDA,Buy,401.1099853515625
TSLA,Buy,201.16000366210938
UNH,Sell,479.8500061035156
BAC,Sell,28.260000228881836
DIS,Sell,87.81999969482422
VZ,Sell,34.900001525878906
INTC,Buy,29.989999771118164
NFLX,Buy,392.9800109863281
ADBE,Buy,417.2099914550781
PYPL,Buy,62.04999923706055
CRM,Buy,218.8699951171875
IBM,Buy,129.47999572753906
CSCO,Buy,50.16999816894531
PFE,Sell,37.0099983215332
ABT,Sell,101.70999908447266
KO,Sell,59.779998779296875
ABBV,Sell,136.44000244140625
PEP,Sell,181.61000061035156
CVX,Sell,153.1199951171875
ACN,Buy,308.42999267578125
QCOM,Buy,116.0
CMCSA,Sell,39.15999984741211
NKE,Sell,106.5199966430664
TXN,Buy,176.5500030517578
MDT,Buy,82.5
ORCL,Buy,105.1500015258789
WMT,Sell,146.05999755859375
HD,Sell,292.3999938964844
MRK,Sell,109.16999816894531
AMGN,Buy,218.52999877929688
XOM,Sell,104.04000091552734
SBUX,Sell,97.75
MO,Sell,44.31999969482422
MMM,Sell,96.05999755859375
BA,Buy,204.69000244140625
COST,Buy,508.0299987792969
MCD,Sell,284.9200134277344
LMT,Sell,447.9700012207031
PG,Sell,143.17999267578125
T,Buy,15.640000343322754
AXP,Buy,158.00999450683594
UNP,Buy,194.1999969482422
CAT,Sell,209.89999389648438
DE,Sell,350.6300048828125
LUV,Buy,29.799999237060547
LOW,Sell,205.6999969482422
USB,Sell,30.65999984741211
BMY,Sell,63.709999084472656
C,Buy,44.70000076293945
WFC,Sell,40.97999954223633
AAP,Buy,112.19999694824219
CI,Sell,242.63999938964844
AMAT,Buy,136.57000732421875
CVS,Sell,67.1500015258789
F,Buy,12.59000015258789
TGT,Sell,133.83999633789062
COP,Sell,101.19999694824219
MET,Sell,51.650001525878906
DHR,Sell,227.17999267578125
MDLZ,Sell,72.37000274658203
LLY,Buy,427.239990234375
TMO,Sell,514.219970703125
GM,Buy,33.36000061035156
DUK,Sell,88.01000213623047
SO,Buy,69.83000183105469
AEP,Sell,81.79000091552734
RTX,Sell,92.81999969482422
GILD,Sell,76.33000183105469
EMR,Sell,78.38999938964844
ADP,Sell,210.1199951171875
NEE,Sell,72.69000244140625
ISRG,Buy,307.07000732421875
VRTX,Sell,325.29998779296875
BDX,Sell,238.38999938964844
PLD,Sell,124.30999755859375
BIIB,Buy,298.69000244140625
TMUS,Sell,135.1199951171875
PGR,Sell,128.07000732421875
CME,Buy,178.1999969482422
HON,Buy,194.5500030517578
TJX,Sell,76.76000213623047
MS,Sell,83.41999816894531
